DonorID,DonationDate,DonationAmount,Channel,Region,FirstDonationDate,Engagement,Frequency
D00001,2021-01-26,34.46,Online,Liverpool,2020-01-25,Yes,3
D00001,2023-04-21,41.45,Campaign,Birmingham,2020-01-25,Yes,3
D00001,2021-06-21,14.37,Shop,Glasgow,2020-01-25,Yes,3
D00002,2024-06-27,16.82,Event,Birmingham,2023-09-05,No,3
D00003,2022-12-03,33.24,Campaign,Glasgow,2022-02-19,No,5
D00003,2022-12-29,14.97,Event,Liverpool,2022-02-19,No,5
D00003,2024-11-23,33.73,Shop,Liverpool,2022-02-19,Yes,5
D00003,2023-11-15,108.49,Event,London,2022-02-19,No,5
D00003,2024-01-23,32.43,Shop,London,2022-02-19,Yes,5
D00005,2023-06-17,60.37,Online,Birmingham,2023-04-23,No,5
D00005,2023-07-22,20.64,Shop,Leeds,2023-04-23,Yes,5
D00006,2022-02-18,66.05,Event,Liverpool,2020-02-16,No,5
D00006,2024-02-10,14.09,Campaign,Glasgow,2020-02-16,No,5
D00006,2023-08-03,20.41,Event,Manchester,2020-02-16,Yes,5
D00006,2021-04-09,17.89,Campaign,Leeds,2020-02-16,Yes,5
D00006,2020-12-14,71.47,Campaign,London,2020-02-16,Yes,5
D00007,2022-10-08,15.83,Shop,London,2020-11-06,Yes,4
D00007,2023-11-23,70.23,Campaign,Liverpool,2020-11-06,No,4
D00007,2024-03-21,112.98,Campaign,Glasgow,2020-11-06,Yes,4
D00007,2023-12-11,163.41,Online,Edinburgh,2020-11-06,Yes,4
D00008,2023-11-13,36.77,Event,Edinburgh,2023-05-28,No,6
D00009,2022-03-20,83.88,Event,Leeds,2021-05-30,No,4
D00009,2021-09-12,174.38,Online,Liverpool,2021-05-30,Yes,4
D00009,2023-12-05,42.94,Event,Leeds,2021-05-30,Yes,4
D00009,2021-11-23,44.57,Shop,Liverpool,2021-05-30,No,4
D00010,2022-09-03,66.24,Event,Birmingham,2020-03-10,No,7
D00010,2023-07-13,15.29,Online,London,2020-03-10,Yes,7
D00010,2022-11-07,142.86,Campaign,Birmingham,2020-03-10,Yes,7
D00010,2021-06-21,42.29,Event,London,2020-03-10,No,7
D00010,2020-05-13,13.89,Online,Edinburgh,2020-03-10,Yes,7
D00010,2024-02-11,78.49,Event,Glasgow,2020-03-10,Yes,7
D00010,2022-01-22,44.19,Event,Birmingham,2020-03-10,No,7
D00011,2022-08-11,35.62,Event,London,2020-01-25,No,7
D00011,2020-06-23,82.94,Shop,London,2020-01-25,Yes,7
D00011,2022-06-25,73.14,Event,Birmingham,2020-01-25,No,7
D00011,2020-06-25,69.49,Event,Birmingham,2020-01-25,No,7
D00011,2020-08-30,96.22,Shop,Leeds,2020-01-25,No,7
D00011,2023-06-05,27.7,Online,Leeds,2020-01-25,No,7
D00011,2020-05-28,23.18,Campaign,Leeds,2020-01-25,No,7
D00012,2023-07-01,28.53,Event,London,2022-04-03,No,3
D00012,2022-04-15,18.17,Shop,Glasgow,2022-04-03,Yes,3
D00012,2024-04-13,37.61,Online,Birmingham,2022-04-03,Yes,3
D00013,2024-10-14,135.37,Event,Liverpool,2023-12-11,No,5
D00014,2023-08-16,64.57,Campaign,Birmingham,2022-02-22,Yes,2
D00014,2023-12-20,63.02,Event,Edinburgh,2022-02-22,Yes,2
D00015,2022-09-15,11.92,Event,Manchester,2020-08-29,Yes,8
D00015,2024-01-02,44.5,Shop,Liverpool,2020-08-29,No,8
D00015,2022-02-08,84.1,Online,London,2020-08-29,Yes,8
D00015,2021-11-24,15.73,Online,Manchester,2020-08-29,No,8
D00015,2020-09-18,116.31,Campaign,Leeds,2020-08-29,Yes,8
D00015,2022-08-09,33.54,Online,Glasgow,2020-08-29,No,8
D00015,2022-11-06,42.6,Campaign,Glasgow,2020-08-29,No,8
D00015,2021-11-01,51.55,Campaign,Glasgow,2020-08-29,Yes,8
D00016,2023-09-04,45.83,Shop,Edinburgh,2022-09-04,No,4
D00017,2024-09-21,13.46,Campaign,Manchester,2022-06-20,No,5
D00017,2022-11-15,68.09,Event,London,2022-06-20,Yes,5
D00017,2023-11-28,31.17,Event,Liverpool,2022-06-20,No,5
D00017,2023-08-15,51.98,Shop,Edinburgh,2022-06-20,Yes,5
D00018,2023-04-16,10.5,Campaign,Manchester,2020-11-11,Yes,4
